"filename", "language", "Go", "comment", "blank", "total"
"/Users/ashnaguha/Desktop/Go Extra/gui.go", "Go", 119, 0, 21, 140
"/Users/ashnaguha/Desktop/Go Extra/main.go", "Go", 66, 0, -2, 64
"Total", "-", 185, 0, 19, 204
